ConcatID,Latitude,Longitude
KU105953,37.246945,-108.486115
KU105952,37.246945,-108.486115
KU105951,37.246945,-108.486115
KU105950,37.246945,-108.486115
KU105949,37.246945,-108.486115
KU105948,37.246945,-108.486115
KU105947,37.246945,-108.486115
KU105946,37.246945,-108.486115
KU105945,37.246945,-108.486115
KU105944,37.246945,-108.486115
KU105943,37.246945,-108.486115
KU105942,37.183885,-108.45292
KU105941,37.183885,-108.45292
KU105940,37.183885,-108.45292
KU105939,37.183885,-108.45292
KU105938,37.23333,-108.47917
KU94318,43.941625,-104.20444
KU87565,44.76667,-110.23333
KU87564,44.76667,-110.23333
KU87563,44.76667,-110.23333
KU87562,44.76667,-110.23333
KU87561,44.76667,-110.23333
KU87560,44.76667,-110.23333
KU87559,44.76667,-110.23333
KU87558,44.76667,-110.23333
KU87557,44.76667,-110.23333
KU87556,41.230601,-110.62667
KU87555,41.3888,-111.0289
KU87543,43.710105,-106.437947
KU87542,43.710105,-106.437947
KU87541,43.710105,-106.437947
KU87540,43.710105,-106.437947
KU87539,43.710105,-106.437947
KU87538,43.710105,-106.437947
KU87537,43.751234,-106.695007
KU87536,43.751234,-106.695007
KU87535,44.225344,-107.630812
KU87534,44.225344,-107.630812
KU87533,44.225344,-107.630812
KU87532,44.225344,-107.630812
KU87531,44.225344,-107.630812
KU87530,44.225344,-107.630812
KU87529,44.225344,-107.630812
KU87528,44.225344,-107.630812
KU87527,44.225344,-107.630812
KU87526,44.225344,-107.630812
KU87525,44.225344,-107.630812
KU87524,44.225344,-107.630812
KU87523,44.225344,-107.630812
KU87522,44.225344,-107.630812
KU87521,44.225344,-107.630812
KU80654,37.246945,-108.486115
KU80653,37.246945,-108.486115
KU80652,37.26056,-108.49306
KU80651,37.26056,-108.49306
KU80650,37.23333,-108.47917
KU80649,37.23333,-108.47917
KU80648,37.23333,-108.47917
KU79651,40.99204,-109.5982
KU79650,40.99204,-109.5982
KU79649,40.99204,-109.5982
KU79648,40.99204,-109.5982
KU79647,40.99204,-109.5982
KU79646,40.99204,-109.5982
KU79645,40.99204,-109.5982
KU79644,40.99204,-109.5982
KU79643,40.99204,-109.5982
KU79642,40.99204,-109.5982
KU79641,40.99204,-109.5982
KU79640,40.99204,-109.5982
KU79639,40.99204,-109.5982
KU79638,41.268304,-110.885384
KU79637,41.268304,-110.885384
KU79636,41.268304,-110.885384
KU79635,41.268304,-110.885384
KU79634,41.268304,-110.885384
KU79633,41.268304,-110.885384
KU79632,41.268304,-110.885384
KU79631,41.268304,-110.885384
KU79630,41.268304,-110.885384
KU79629,41.268304,-110.885384
KU79628,41.268304,-110.885384
KU79627,41.268304,-110.885384
KU79626,41.268304,-110.885384
KU79625,41.268304,-110.885384
KU79624,41.268304,-110.885384
KU79623,41.268304,-110.885384
KU79622,41.268304,-110.885384
KU79621,41.268304,-110.885384
KU79620,41.268304,-110.885384
KU79619,41.268304,-110.885384
KU79618,41.268304,-110.885384
KU79617,41.268304,-110.885384
KU79616,41.268304,-110.885384
KU79615,41.268304,-110.885384
KU79614,41.268304,-110.885384
KU79613,41.566025,-109.187137
KU79612,41.566025,-109.187137
KU79611,41.566025,-109.187137
KU79610,41.566025,-109.187137
KU79609,41.566025,-109.187137
KU79608,41.566025,-109.187137
KU79607,41.566025,-109.187137
KU79606,41.566025,-109.187137
KU79605,41.566025,-109.187137
KU79604,41.566025,-109.187137
KU79603,41.566025,-109.187137
KU79602,41.566025,-109.187137
KU79601,41.566025,-109.187137
KU79600,41.566025,-109.187137
KU79599,41.566025,-109.187137
KU79598,41.566025,-109.187137
KU79597,41.566025,-109.187137
KU79596,41.566025,-109.187137
KU79595,41.566025,-109.187137
KU79594,41.566025,-109.187137
KU79593,41.566025,-109.187137
KU79592,41.566025,-109.187137
KU79591,41.566025,-109.187137
KU79590,41.566025,-109.187137
KU79589,41.566025,-109.187137
KU79588,41.566025,-109.187137
KU79587,41.566025,-109.187137
